,Invoice ID,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,cogs,Total,Date,Time,Payment,Rating
41,554-53-8700,TP HCM,Member,Nam,Home and lifestyle,56.11,2,5.611,112.22,117.83,2/2/19,10:11,Cash,7
42,354-25-5821,Đà Nẵng,Member,Nữ,Sports and travel,69.12,6,20.736,414.72,435.46,2/8/19,13:03,Cash,6
43,228-96-1411,TP HCM,Member,Nữ,Food and beverages,98.7,8,39.48,789.6,829.08,3/4/19,20:39,Cash,6
44,617-15-4209,TP HCM,Member,Nam,Health and beauty,15.37,2,1.537,30.74,32.28,3/16/19,19:47,Cash,9
45,132-32-9879,Đà Nẵng,Member,Nữ,Electronic accessories,93.96,4,18.792,375.84,394.63,3/9/19,18:00,Cash,7
46,370-41-7321,Đà Nẵng,Member,Nam,Health and beauty,56.69,9,25.5105,510.21,535.72,2/27/19,17:24,Credit card,6
47,727-46-3608,Đà Nẵng,Member,Nữ,Food and beverages,20.01,9,9.0045,180.09,189.09,2/6/19,15:47,Ewallet,9
48,669-54-1719,Đà Nẵng,Member,Nam,Electronic accessories,18.93,6,5.679,113.58,119.26,2/10/19,12:45,Credit card,7
49,574-22-5561,TP HCM,Member,Nữ,Fashion accessories,82.63,10,41.315,826.3,867.62,3/19/19,17:08,Ewallet,5
50,326-78-5178,TP HCM,Member,Nam,Food and beverages,91.4,7,31.99,639.8,671.79,2/3/19,10:19,Cash,6
51,162-48-8011,Hà Nội,Member,Nữ,Food and beverages,44.59,5,11.1475,222.95,234.1,2/10/19,15:10,Cash,6
52,616-24-2851,Đà Nẵng,Member,Nữ,Fashion accessories,17.87,4,3.574,71.48,75.05,3/22/19,14:42,Ewallet,9
53,778-71-5554,TP HCM,Member,Nam,Fashion accessories,15.43,1,0.7715,15.43,16.2,1/25/19,15:46,Credit card,7
54,242-55-6721,Đà Nẵng,Normal,Nam,Home and lifestyle,16.16,2,1.616,32.32,33.94,3/7/19,11:49,Ewallet,9
55,399-46-5918,TP HCM,Normal,Nữ,Electronic accessories,85.98,8,34.392,687.84,722.23,2/28/19,19:01,Cash,6
56,106-35-6779,TP HCM,Member,Nam,Home and lifestyle,44.34,2,4.434,88.68,93.11,3/27/19,11:26,Cash,8
57,635-40-6220,Hà Nội,Normal,Nam,Health and beauty,89.6,8,35.84,716.8,752.64,2/7/19,11:28,Ewallet,6
58,817-48-8732,Hà Nội,Member,Nữ,Home and lifestyle,72.35,10,36.175,723.5,759.68,1/20/19,15:55,Cash,7
59,120-06-4233,TP HCM,Normal,Nam,Electronic accessories,30.61,6,9.183,183.66,192.84,3/12/19,20:36,Cash,7
60,285-68-5083,TP HCM,Member,Nữ,Sports and travel,24.74,3,3.711,74.22,77.93,2/15/19,17:47,Credit card,8
61,803-83-5989,TP HCM,Normal,Nam,Home and lifestyle,55.73,6,16.719,334.38,351.1,2/24/19,10:55,Ewallet,9
62,347-34-2234,Đà Nẵng,Member,Nữ,Sports and travel,55.07,9,24.7815,495.63,520.41,2/3/19,13:40,Ewallet,7
63,199-75-8169,Hà Nội,Member,Nam,Sports and travel,15.81,10,7.905,158.1,166.01,3/6/19,12:27,Credit card,6
64,853-23-2453,TP HCM,Member,Nam,Health and beauty,75.74,4,15.148,302.96,318.11,2/14/19,14:35,Cash,7
65,877-22-3308,Hà Nội,Member,Nam,Health and beauty,15.87,10,7.935,158.7,166.64,3/13/19,16:40,Cash,7
66,838-78-4295,TP HCM,Normal,Nữ,Health and beauty,33.47,2,3.347,66.94,70.29,2/10/19,15:43,Ewallet,7
67,109-28-2512,Đà Nẵng,Member,Nữ,Fashion accessories,97.61,6,29.283,585.66,614.94,1/7/19,15:01,Ewallet,7
68,232-11-3025,Hà Nội,Normal,Nam,Sports and travel,78.77,10,39.385,787.7,827.09,1/24/19,10:04,Cash,6
69,382-03-4532,Hà Nội,Member,Nữ,Health and beauty,18.33,1,0.9165,18.33,19.25,2/2/19,18:50,Cash,8
70,393-65-2792,TP HCM,Normal,Nam,Food and beverages,89.48,10,44.74,894.8,939.54,1/6/19,12:46,Credit card,7
71,796-12-2025,TP HCM,Normal,Nam,Fashion accessories,62.12,10,31.06,621.2,652.26,2/11/19,16:19,Cash,7
72,510-95-6347,Đà Nẵng,Member,Nữ,Food and beverages,48.52,3,7.278,145.56,152.84,3/5/19,18:17,Ewallet,7
73,841-35-6630,TP HCM,Normal,Nữ,Electronic accessories,75.91,6,22.773,455.46,478.23,3/9/19,18:21,Cash,6
74,287-21-9091,Hà Nội,Normal,Nam,Home and lifestyle,74.67,9,33.6015,672.03,705.63,1/22/19,10:55,Ewallet,6
75,732-94-0499,TP HCM,Normal,Nữ,Electronic accessories,41.65,10,20.825,416.5,437.33,1/13/19,17:04,Credit card,8
76,263-10-3913,TP HCM,Member,Nam,Fashion accessories,49.04,9,22.068,441.36,463.43,1/9/19,14:20,Credit card,7
77,381-20-0914,Hà Nội,Member,Nữ,Fashion accessories,20.01,9,9.0045,180.09,189.09,1/12/19,15:48,Credit card,8
78,829-49-1914,TP HCM,Member,Nữ,Food and beverages,78.31,10,39.155,783.1,822.26,3/5/19,16:24,Ewallet,5
79,756-01-7507,TP HCM,Normal,Nữ,Health and beauty,20.38,5,5.095,101.9,107,1/22/19,18:56,Cash,8
80,870-72-4431,TP HCM,Normal,Nữ,Health and beauty,99.19,6,29.757,595.14,624.9,1/21/19,14:42,Credit card,6
81,847-38-7188,TP HCM,Normal,Nữ,Food and beverages,96.68,3,14.502,290.04,304.54,1/26/19,19:56,Ewallet,7
82,480-63-2856,TP HCM,Normal,Nam,Food and beverages,19.25,8,7.7,154,161.7,1/23/19,18:37,Ewallet,8
83,787-56-0757,TP HCM,Member,Nữ,Food and beverages,80.36,4,16.072,321.44,337.51,2/23/19,18:45,Credit card,8
84,360-39-5055,TP HCM,Member,Nam,Sports and travel,48.91,5,12.2275,244.55,256.78,3/9/19,10:17,Cash,8
85,730-50-9884,TP HCM,Normal,Nữ,Sports and travel,83.06,7,29.071,581.42,610.49,3/5/19,14:31,Ewallet,7
86,362-58-8315,TP HCM,Normal,Nam,Fashion accessories,76.52,5,19.13,382.6,401.73,3/25/19,10:23,Cash,7
87,633-44-8566,Hà Nội,Member,Nam,Food and beverages,49.38,7,17.283,345.66,362.94,3/27/19,20:35,Credit card,7
88,504-35-8843,Hà Nội,Normal,Nam,Sports and travel,42.47,1,2.1235,42.47,44.59,1/2/19,16:57,Cash,9
89,318-68-5053,Đà Nẵng,Normal,Nữ,Health and beauty,76.99,6,23.097,461.94,485.04,2/27/19,17:55,Cash,5
90,565-80-5980,TP HCM,Member,Nữ,Home and lifestyle,47.38,4,9.476,189.52,199,1/23/19,10:25,Cash,7
91,225-32-0908,TP HCM,Normal,Nữ,Sports and travel,44.86,10,22.43,448.6,471.03,1/26/19,19:54,Ewallet,7
92,873-51-0671,Hà Nội,Member,Nữ,Sports and travel,21.98,7,7.693,153.86,161.55,1/10/19,16:42,Ewallet,7
93,152-08-9985,Đà Nẵng,Member,Nam,Health and beauty,64.36,9,28.962,579.24,608.2,3/12/19,12:09,Credit card,6
94,512-91-0811,TP HCM,Normal,Nam,Health and beauty,89.75,1,4.4875,89.75,94.24,2/6/19,20:05,Credit card,9
95,594-34-4444,Hà Nội,Normal,Nam,Electronic accessories,97.16,1,4.858,97.16,102.02,3/8/19,20:38,Ewallet,8
96,766-85-7061,Đà Nẵng,Normal,Nam,Health and beauty,87.87,10,43.935,878.7,922.64,3/29/19,10:25,Ewallet,4
97,871-39-9221,TP HCM,Normal,Nữ,Electronic accessories,12.45,6,3.735,74.7,78.44,2/9/19,13:11,Cash,8
98,865-92-6136,Hà Nội,Normal,Nam,Food and beverages,52.75,3,7.9125,158.25,166.16,3/23/19,10:16,Ewallet,7
99,733-01-9107,Đà Nẵng,Normal,Nam,Home and lifestyle,82.7,6,24.81,496.2,521.01,3/5/19,18:14,Cash,8
100,163-56-7055,TP HCM,Member,Nam,Fashion accessories,48.71,1,2.4355,48.71,51.15,3/26/19,19:20,Cash,8
101,189-98-2939,TP HCM,Normal,Nam,Fashion accessories,78.55,9,35.3475,706.95,742.3,3/1/19,13:22,Cash,7
102,551-21-3069,TP HCM,Normal,Nữ,Electronic accessories,23.07,9,10.3815,207.63,218.01,2/1/19,11:27,Cash,7
103,212-62-1842,TP HCM,Normal,Nam,Food and beverages,58.26,6,17.478,349.56,367.04,3/28/19,16:44,Cash,7
104,716-39-1409,TP HCM,Normal,Nam,Health and beauty,30.35,7,10.6225,212.45,223.07,3/19/19,18:19,Cash,8
105,704-48-3927,TP HCM,Member,Nam,Electronic accessories,88.67,10,44.335,886.7,931.04,1/12/19,14:50,Ewallet,5
106,628-34-3388,TP HCM,Normal,Nam,Fashion accessories,27.38,6,8.214,164.28,172.49,1/5/19,20:54,Credit card,8
107,630-74-5166,Hà Nội,Normal,Nam,Sports and travel,62.13,6,18.639,372.78,391.42,3/22/19,20:19,Cash,9
108,588-01-7461,TP HCM,Normal,Nữ,Food and beverages,33.98,9,15.291,305.82,321.11,3/24/19,10:43,Cash,7
109,861-77-0145,TP HCM,Member,Nam,Electronic accessories,81.97,10,40.985,819.7,860.69,3/3/19,14:30,Cash,6
110,479-26-8945,TP HCM,Member,Nữ,Sports and travel,16.49,2,1.649,32.98,34.63,2/5/19,11:32,Ewallet,8
111,210-67-5886,TP HCM,Member,Nữ,Health and beauty,98.21,3,14.7315,294.63,309.36,2/5/19,10:41,Credit card,7
112,227-78-1148,Đà Nẵng,Normal,Nữ,Fashion accessories,72.84,7,25.494,509.88,535.37,2/15/19,12:44,Cash,8
113,645-44-1170,Hà Nội,Member,Nam,Home and lifestyle,58.07,9,26.1315,522.63,548.76,1/19/19,20:07,Ewallet,6
114,237-01-6122,TP HCM,Member,Nữ,Home and lifestyle,80.79,9,36.3555,727.11,763.47,2/1/19,20:31,Credit card,6
115,225-98-1496,TP HCM,Normal,Nữ,Fashion accessories,27.02,3,4.053,81.06,85.11,3/2/19,13:01,Credit card,7
116,291-32-1427,TP HCM,Member,Nam,Fashion accessories,21.94,5,5.485,109.7,115.19,3/5/19,12:29,Ewallet,9
117,659-65-8956,Đà Nẵng,Member,Nam,Fashion accessories,51.36,1,2.568,51.36,53.93,1/16/19,15:26,Ewallet,8
118,642-32-2990,TP HCM,Normal,Nữ,Food and beverages,10.96,10,5.48,109.6,115.08,2/2/19,20:48,Ewallet,8
119,378-24-2715,Đà Nẵng,Normal,Nam,Home and lifestyle,53.44,2,5.344,106.88,112.22,1/20/19,20:38,Ewallet,7
120,638-60-7125,Hà Nội,Normal,Nữ,Electronic accessories,99.56,8,39.824,796.48,836.3,2/14/19,17:03,Credit card,6
121,659-36-1684,TP HCM,Member,Nam,Sports and travel,57.12,7,19.992,399.84,419.83,1/12/19,12:02,Credit card,8
122,219-22-9386,Đà Nẵng,Member,Nam,Sports and travel,99.96,9,44.982,899.64,944.62,3/9/19,17:26,Credit card,6
123,336-78-2147,TP HCM,Member,Nam,Home and lifestyle,63.91,8,25.564,511.28,536.84,3/13/19,19:52,Credit card,6
124,268-27-6179,Đà Nẵng,Member,Nữ,Fashion accessories,56.47,8,22.588,451.76,474.35,3/9/19,14:57,Ewallet,7
125,668-90-8900,TP HCM,Normal,Nữ,Home and lifestyle,93.69,7,32.7915,655.83,688.62,3/10/19,18:44,Credit card,8
126,870-54-3162,Hà Nội,Normal,Nữ,Sports and travel,32.25,5,8.0625,161.25,169.31,1/27/19,13:26,Cash,8
127,189-08-9157,TP HCM,Normal,Nữ,Fashion accessories,31.73,9,14.2785,285.57,299.85,1/8/19,16:17,Credit card,9
128,663-86-9076,TP HCM,Member,Nữ,Food and beverages,68.54,8,27.416,548.32,575.74,1/8/19,15:57,Ewallet,7
129,549-84-7482,TP HCM,Normal,Nữ,Sports and travel,90.28,9,40.626,812.52,853.15,2/8/19,11:15,Ewallet,5
130,191-10-6171,TP HCM,Normal,Nữ,Fashion accessories,39.62,7,13.867,277.34,291.21,1/25/19,13:18,Cash,8
131,802-70-5316,Hà Nội,Member,Nữ,Sports and travel,92.13,6,27.639,552.78,580.42,3/6/19,20:34,Cash,7
132,695-51-0018,Đà Nẵng,Normal,Nữ,Sports and travel,34.84,4,6.968,139.36,146.33,2/10/19,18:36,Cash,8
133,590-83-4591,TP HCM,Member,Nam,Electronic accessories,87.45,6,26.235,524.7,550.94,2/17/19,14:40,Credit card,7
134,483-71-1164,TP HCM,Normal,Nữ,Health and beauty,81.3,6,24.39,487.8,512.19,3/8/19,16:43,Ewallet,6
135,597-78-7908,TP HCM,Normal,Nam,Fashion accessories,90.22,3,13.533,270.66,284.19,2/18/19,19:39,Cash,8
136,700-81-1757,TP HCM,Normal,Nữ,Electronic accessories,26.31,5,6.5775,131.55,138.13,1/18/19,20:59,Credit card,7
137,354-39-5160,Hà Nội,Member,Nữ,Home and lifestyle,34.42,6,10.326,206.52,216.85,2/18/19,15:39,Cash,8
138,241-72-9525,TP HCM,Normal,Nam,Sports and travel,51.91,10,25.955,519.1,545.06,2/16/19,12:21,Cash,7
139,575-30-8091,Hà Nội,Normal,Nam,Sports and travel,72.5,8,29,580,609,3/16/19,19:25,Ewallet,8
140,731-81-9469,TP HCM,Member,Nữ,Sports and travel,89.8,10,44.9,898,942.9,1/23/19,13:00,Credit card,5
141,280-17-4359,TP HCM,Member,Nam,Health and beauty,90.5,10,45.25,905,950.25,1/25/19,13:48,Cash,6
142,338-65-2210,TP HCM,Member,Nữ,Health and beauty,68.6,10,34.3,686,720.3,2/5/19,19:57,Cash,6
143,488-25-4221,TP HCM,Member,Nữ,Food and beverages,30.41,1,1.5205,30.41,31.93,2/22/19,10:36,Credit card,8
144,239-10-7476,Hà Nội,Normal,Nữ,Home and lifestyle,77.95,6,23.385,467.7,491.09,1/21/19,16:37,Ewallet,6
145,458-41-1477,TP HCM,Normal,Nữ,Health and beauty,46.26,6,13.878,277.56,291.44,3/8/19,17:11,Credit card,7
146,685-64-1609,Hà Nội,Member,Nữ,Fashion accessories,30.14,10,15.07,301.4,316.47,2/10/19,12:28,Ewallet,7
147,568-90-5112,TP HCM,Normal,Nam,Health and beauty,66.14,4,13.228,264.56,277.79,3/19/19,12:46,Credit card,7
148,262-47-2794,TP HCM,Member,Nam,Home and lifestyle,71.86,8,28.744,574.88,603.62,3/6/19,15:07,Credit card,7
149,238-49-0436,Hà Nội,Normal,Nam,Health and beauty,32.46,8,12.984,259.68,272.66,3/27/19,13:48,Credit card,6
150,608-96-3517,Đà Nẵng,Member,Nữ,Fashion accessories,91.54,4,18.308,366.16,384.47,3/23/19,19:20,Credit card,8
151,584-86-7256,TP HCM,Member,Nam,Sports and travel,34.56,7,12.096,241.92,254.02,3/11/19,16:07,Credit card,7
152,746-94-0204,Hà Nội,Normal,Nam,Fashion accessories,83.24,9,37.458,749.16,786.62,1/29/19,11:56,Credit card,7
153,214-17-6927,TP HCM,Normal,Nữ,Food and beverages,16.48,6,4.944,98.88,103.82,2/7/19,18:23,Ewallet,7
154,400-89-4171,TP HCM,Normal,Nữ,Sports and travel,80.97,8,32.388,647.76,680.15,1/28/19,13:05,Cash,7
155,782-95-9291,TP HCM,Member,Nam,Food and beverages,92.29,5,23.0725,461.45,484.52,2/20/19,15:55,Credit card,7
156,279-74-2924,Đà Nẵng,Member,Nam,Electronic accessories,72.17,1,3.6085,72.17,75.78,1/4/19,19:40,Cash,8
157,307-85-2293,Đà Nẵng,Normal,Nam,Home and lifestyle,50.28,5,12.57,251.4,263.97,3/7/19,13:58,Ewallet,6
158,743-04-1105,TP HCM,Member,Nam,Health and beauty,97.22,9,43.749,874.98,918.73,3/30/19,14:43,Ewallet,6
159,423-57-2993,TP HCM,Normal,Nam,Sports and travel,93.39,6,28.017,560.34,588.36,3/27/19,19:18,Ewallet,8
160,894-41-5205,TP HCM,Normal,Nữ,Food and beverages,43.18,8,17.272,345.44,362.71,1/19/19,19:39,Credit card,6
161,275-28-0149,Hà Nội,Normal,Nam,Sports and travel,63.69,1,3.1845,63.69,66.87,2/25/19,16:21,Cash,8
162,101-17-6199,Hà Nội,Normal,Nam,Food and beverages,45.79,7,16.0265,320.53,336.56,3/13/19,19:44,Credit card,8
163,423-80-0988,TP HCM,Normal,Nam,Sports and travel,76.4,2,7.64,152.8,160.44,1/30/19,19:42,Ewallet,8
164,548-46-9322,Đà Nẵng,Normal,Nam,Food and beverages,39.9,10,19.95,399,418.95,2/20/19,15:24,Credit card,6
165,505-02-0892,Đà Nẵng,Member,Nam,Health and beauty,42.57,8,17.028,340.56,357.59,2/25/19,14:12,Ewallet,7
166,234-65-2137,TP HCM,Normal,Nam,Home and lifestyle,95.58,10,47.79,955.8,1003.59,1/16/19,13:32,Cash,6
167,687-47-8271,TP HCM,Normal,Nam,Fashion accessories,98.98,10,49.49,989.8,1039.29,2/8/19,16:20,Credit card,6
168,796-32-9050,TP HCM,Normal,Nam,Food and beverages,51.28,6,15.384,307.68,323.06,1/19/19,16:31,Cash,6
169,105-31-1824,Hà Nội,Member,Nam,Sports and travel,69.52,7,24.332,486.64,510.97,2/1/19,15:10,Credit card,8
170,249-42-3782,Hà Nội,Normal,Nam,Health and beauty,70.01,5,17.5025,350.05,367.55,1/3/19,11:36,Ewallet,7
171,316-55-4634,TP HCM,Member,Nam,Food and beverages,80.05,5,20.0125,400.25,420.26,1/26/19,12:45,Credit card,6
172,733-33-4967,TP HCM,Normal,Nam,Electronic accessories,20.85,8,8.34,166.8,175.14,3/3/19,19:17,Cash,8
173,608-27-6295,Đà Nẵng,Member,Nam,Electronic accessories,52.89,6,15.867,317.34,333.21,1/19/19,17:34,Credit card,8
174,414-12-7047,TP HCM,Normal,Nam,Food and beverages,19.79,8,7.916,158.32,166.24,1/18/19,12:04,Ewallet,6
175,827-26-2100,Hà Nội,Member,Nam,Home and lifestyle,33.84,9,15.228,304.56,319.79,3/21/19,16:21,Ewallet,8
176,175-54-2529,Hà Nội,Member,Nam,Food and beverages,22.17,8,8.868,177.36,186.23,3/3/19,17:01,Credit card,8
177,139-52-2867,TP HCM,Normal,Nữ,Fashion accessories,22.51,7,7.8785,157.57,165.45,2/13/19,10:50,Credit card,8
178,407-63-8975,TP HCM,Normal,Nam,Food and beverages,73.88,6,22.164,443.28,465.44,3/23/19,19:16,Ewallet,7
179,342-65-4817,TP HCM,Member,Nam,Health and beauty,86.8,3,13.02,260.4,273.42,1/28/19,16:47,Ewallet,8
180,130-98-8941,TP HCM,Normal,Nam,Fashion accessories,64.26,7,22.491,449.82,472.31,2/9/19,10:00,Cash,10
181,434-83-9547,TP HCM,Member,Nam,Food and beverages,38.47,8,15.388,307.76,323.15,1/23/19,11:51,Cash,8
182,851-28-6367,TP HCM,Member,Nam,Sports and travel,15.5,10,7.75,155,162.75,3/23/19,10:55,Ewallet,7
183,824-88-3614,TP HCM,Normal,Nam,Health and beauty,34.31,8,13.724,274.48,288.2,1/25/19,15:00,Ewallet,6
184,586-25-0848,TP HCM,Normal,Nữ,Sports and travel,12.34,7,4.319,86.38,90.7,3/4/19,11:19,Credit card,7
185,895-66-0685,Đà Nẵng,Member,Nam,Food and beverages,18.08,3,2.712,54.24,56.95,3/5/19,19:46,Ewallet,8
186,305-14-0245,Đà Nẵng,Member,Nữ,Home and lifestyle,94.49,8,37.796,755.92,793.72,3/3/19,19:00,Ewallet,6
187,732-04-5373,Đà Nẵng,Member,Nam,Home and lifestyle,46.47,4,9.294,185.88,195.17,2/8/19,10:53,Cash,6
188,400-60-7251,TP HCM,Normal,Nam,Home and lifestyle,74.07,1,3.7035,74.07,77.77,2/10/19,12:50,Ewallet,8
189,593-65-1552,TP HCM,Normal,Nữ,Home and lifestyle,69.81,4,13.962,279.24,293.2,1/28/19,20:50,Credit card,8
190,284-34-9626,Đà Nẵng,Normal,Nữ,Home and lifestyle,77.04,3,11.556,231.12,242.68,2/11/19,10:39,Credit card,7
191,437-58-8131,Đà Nẵng,Normal,Nữ,Fashion accessories,73.52,2,7.352,147.04,154.39,1/15/19,13:41,Ewallet,8
192,286-43-6208,TP HCM,Normal,Nữ,Food and beverages,87.8,9,39.51,790.2,829.71,3/16/19,19:08,Cash,6
193,641-43-2399,TP HCM,Normal,Nam,Home and lifestyle,25.55,4,5.11,102.2,107.31,1/26/19,20:23,Ewallet,8
194,831-07-6050,TP HCM,Normal,Nam,Electronic accessories,32.71,5,8.1775,163.55,171.73,3/19/19,11:30,Credit card,8
195,556-86-3144,TP HCM,Member,Nữ,Fashion accessories,74.29,1,3.7145,74.29,78,1/13/19,19:30,Cash,7
196,848-24-9445,TP HCM,Member,Nam,Health and beauty,43.7,2,4.37,87.4,91.77,3/26/19,18:03,Cash,7
197,856-22-8149,Hà Nội,Normal,Nữ,Home and lifestyle,25.29,1,1.2645,25.29,26.55,3/23/19,10:13,Ewallet,8
198,699-01-4164,TP HCM,Normal,Nam,Health and beauty,41.5,4,8.3,166,174.3,3/12/19,19:58,Credit card,7
199,420-11-4919,TP HCM,Member,Nữ,Food and beverages,71.39,5,17.8475,356.95,374.8,2/17/19,19:57,Credit card,8
200,606-80-4905,TP HCM,Member,Nữ,Sports and travel,19.15,6,5.745,114.9,120.65,1/29/19,10:01,Credit card,8
201,542-41-0513,TP HCM,Member,Nữ,Electronic accessories,57.49,4,11.498,229.96,241.46,3/15/19,11:57,Cash,7
202,426-39-2418,TP HCM,Normal,Nam,Electronic accessories,61.41,7,21.4935,429.87,451.36,1/14/19,10:02,Cash,7
203,875-46-5808,Đà Nẵng,Member,Nam,Health and beauty,25.9,10,12.95,259,271.95,2/6/19,14:51,Ewallet,6
204,394-43-4238,Đà Nẵng,Member,Nam,Home and lifestyle,17.77,5,4.4425,88.85,93.29,2/15/19,12:42,Credit card,6
205,749-24-1565,TP HCM,Normal,Nữ,Health and beauty,23.03,9,10.3635,207.27,217.63,1/3/19,12:02,Ewallet,7
206,672-51-8681,TP HCM,Member,Nữ,Electronic accessories,66.65,9,29.9925,599.85,629.84,1/4/19,18:19,Credit card,7
207,263-87-5680,TP HCM,Member,Nữ,Home and lifestyle,28.53,10,14.265,285.3,299.57,3/18/19,17:38,Ewallet,8
